364670.18894357,4947204.01690291,1
364669.40936109,4947205.01265064,1
364664.53476048,4947210.47179307,1
364659.93957066,4947216.03811401,1
364654.74730106,4947221.2957959,1
364649.01741098,4947225.89226472,1
364644.26880357,4947231.01615759,1
364640.22169222,4947237.09390686,1
364635.04931593,4947242.30911896,1
364630.60895274,4947248.05952492,1
364625.96056706,4947252.44070657,1
364622.20973004,4947259.13981787,1
364618.86649832,4947265.5661602,1
364614.14691837,4947270.98156663,1
364609.51450571,4947276.44698233,1
364606.081916,4947283.27033311,1
364601.83620322,4947289.23264349,1
364598.04300362,4947295.55294347,1
364594.07617833,4947301.56268655,1
364589.75280748,4947307.87256548,1
364586.1458182,4947314.12147475,1
364582.16938301,4947320.3023396,1
364577.96815241,4947326.27967672,1
364574.32002085,4947332.6351306,1
364571.23730836,4947339.30788046,1
364568.07926,4947345.57630446,1
364563.86744558,4947351.6564781,1
364559.9122491,4947357.40756941,1
364556.37849634,4947364.11322331,1
364552.37598566,4947370.25924179,1
364547.97718642,4947376.16055765,1
364543.77076124,4947382.09642097,1
364539.48272552,4947388.06852051,1
364535.65608629,4947394.22443533,1
364531.37301377,4947400.42134327,1
364526.91853025,4947405.99496593,1
364522.84008641,4947412.01386119,1
364518.79454343,4947418.06696564,1
364515.69003546,4947424.92672218,1
364513.14288126,4947431.698197,1
364510.51524864,4947438.70328161,1
364508.16770374,4947445.51330302,1
364505.33962279,4947452.25867199,1
364504.83740543,4947453.33465564,1
